Date,Tray,SeedID,Geno_Cross,Total_Area(cm),germ_date
1/30/2016,3,2D31,D - Ler/ Ws,0,1/26/2016
1/30/2016,3,2D61,D - Ler/ Ws,0,1/26/2016
1/30/2016,3,2C31,C - Ws/Ler,0.353,1/26/2016
1/30/2016,3,2A51,A - Ws/Col,0,1/26/2016
1/30/2016,3,2A41,A - Ws/Col,0.39,1/26/2016
1/30/2016,3,2A61,A - Ws/Col,0.392,1/26/2016
1/30/2016,3,2G31,G - Ler/Col,0.328,1/26/2016
1/30/2016,3,2F41,F - Col/Ler,0.134,1/26/2016
1/30/2016,3,2B31,B - Col/ Ws,0,1/26/2016
1/30/2016,3,2C11,C - Ws/Ler,0,1/26/2016
1/30/2016,3,2F11,F - Col/Ler,0,1/26/2016
1/30/2016,3,2F51,F - Col/Ler,0.195,1/26/2016
1/30/2016,3,2D21,D - Ler/ Ws,0,1/26/2016
1/30/2016,3,2C41,C - Ws/Ler,0.364,1/26/2016
1/30/2016,3,2D11,D - Ler/ Ws,0,1/26/2016
1/30/2016,3,2B61,B - Col/ Ws,0,1/26/2016
1/30/2016,3,2G11,G - Ler/Col,0.335,1/26/2016
1/30/2016,3,2A31,A - Ws/Col,0.404,1/26/2016
1/30/2016,3,2F61,F - Col/Ler,0.314,1/26/2016
1/30/2016,3,2B21,B - Col/ Ws,0.248,1/26/2016
1/30/2016,3,2D41,D - Ler/ Ws,0,1/26/2016
1/30/2016,3,2D51,D - Ler/ Ws,0.113,1/26/2016
1/30/2016,3,2A21,A - Ws/Col,0,1/26/2016
1/30/2016,3,2G51,G - Ler/Col,0.38,1/26/2016
1/30/2016,3,2B41,B - Col/ Ws,0.254,1/26/2016
1/30/2016,3,2F21,F - Col/Ler,0.379,1/26/2016
1/30/2016,3,2G41,G - Ler/Col,0.281,1/26/2016
1/30/2016,3,2B11,B - Col/ Ws,0.425,1/26/2016
1/30/2016,3,2F31,F - Col/Ler,0.36,1/26/2016
1/30/2016,3,2C21,C - Ws/Ler,0,1/26/2016
1/30/2016,3,2G21,G - Ler/Col,0.423,1/26/2016
1/30/2016,3,2C61,C - Ws/Ler,0.347,1/26/2016
1/30/2016,3,2A11,A - Ws/Col,0,1/26/2016
1/30/2016,3,2B51,B - Col/ Ws,0.367,1/26/2016
1/30/2016,3,2C51,C - Ws/Ler,0.483,1/26/2016
1/30/2016,3,2G61,G - Ler/Col,0.39,1/26/2016
1/31/2016,3,2D31,D - Ler/ Ws,0,1/26/2016
1/31/2016,3,2D61,D - Ler/ Ws,0,1/26/2016
1/31/2016,3,2C31,C - Ws/Ler,0.383,1/26/2016
1/31/2016,3,2A51,A - Ws/Col,0,1/26/2016
1/31/2016,3,2A41,A - Ws/Col,0.429,1/26/2016
1/31/2016,3,2A61,A - Ws/Col,0.408,1/26/2016
1/31/2016,3,2G31,G - Ler/Col,0.356,1/26/2016
1/31/2016,3,2F41,F - Col/Ler,0.153,1/26/2016
1/31/2016,3,2B31,B - Col/ Ws,0,1/26/2016
1/31/2016,3,2C11,C - Ws/Ler,0.089,1/26/2016
1/31/2016,3,2F11,F - Col/Ler,0,1/26/2016
1/31/2016,3,2F51,F - Col/Ler,0.244,1/26/2016
1/31/2016,3,2D21,D - Ler/ Ws,0,1/26/2016
1/31/2016,3,2C41,C - Ws/Ler,0.406,1/26/2016
1/31/2016,3,2D11,D - Ler/ Ws,0,1/26/2016
1/31/2016,3,2B61,B - Col/ Ws,0,1/26/2016
1/31/2016,3,2G11,G - Ler/Col,0.355,1/26/2016
1/31/2016,3,2A31,A - Ws/Col,0.426,1/26/2016
1/31/2016,3,2F61,F - Col/Ler,0.347,1/26/2016
1/31/2016,3,2B21,B - Col/ Ws,0.286,1/26/2016
1/31/2016,3,2D41,D - Ler/ Ws,0.056,1/26/2016
1/31/2016,3,2D51,D - Ler/ Ws,0.111,1/26/2016
1/31/2016,3,2A21,A - Ws/Col,0,1/26/2016
1/31/2016,3,2G51,G - Ler/Col,0.454,1/26/2016
1/31/2016,3,2B41,B - Col/ Ws,0.294,1/26/2016
1/31/2016,3,2F21,F - Col/Ler,0.435,1/26/2016
1/31/2016,3,2G41,G - Ler/Col,0.384,1/26/2016
1/31/2016,3,2B11,B - Col/ Ws,0.551,1/26/2016
1/31/2016,3,2F31,F - Col/Ler,0.422,1/26/2016
1/31/2016,3,2C21,C - Ws/Ler,0.79,1/26/2016
1/31/2016,3,2G21,G - Ler/Col,0,1/26/2016
1/31/2016,3,2C61,C - Ws/Ler,0.579,1/26/2016
1/31/2016,3,2A11,A - Ws/Col,0,1/26/2016
1/31/2016,3,2B51,B - Col/ Ws,0.384,1/26/2016
1/31/2016,3,2C51,C - Ws/Ler,0.516,1/26/2016
1/31/2016,3,2G61,G - Ler/Col,0.522,1/26/2016
2/1/2016,3,2D31,D - Ler/ Ws,0,1/26/2016
2/1/2016,3,2D61,D - Ler/ Ws,0,1/26/2016
2/1/2016,3,2C31,C - Ws/Ler,0.514,1/26/2016
2/1/2016,3,2A51,A - Ws/Col,0,1/26/2016
2/1/2016,3,2A41,A - Ws/Col,0.545,1/26/2016
2/1/2016,3,2A61,A - Ws/Col,0.561,1/26/2016
2/1/2016,3,2G31,G - Ler/Col,0.511,1/26/2016
2/1/2016,3,2F41,F - Col/Ler,0.232,1/26/2016
2/1/2016,3,2B31,B - Col/ Ws,0,1/26/2016
2/1/2016,3,2C11,C - Ws/Ler,0.089,1/26/2016
2/1/2016,3,2F11,F - Col/Ler,0,1/26/2016
2/1/2016,3,2F51,F - Col/Ler,0.382,1/26/2016
2/1/2016,3,2D21,D - Ler/ Ws,0,1/26/2016
2/1/2016,3,2C41,C - Ws/Ler,0.609,1/26/2016
2/1/2016,3,2D11,D - Ler/ Ws,0,1/26/2016
2/1/2016,3,2B61,B - Col/ Ws,0,1/26/2016
2/1/2016,3,2G11,G - Ler/Col,0.526,1/26/2016
2/1/2016,3,2A31,A - Ws/Col,0.637,1/26/2016
2/1/2016,3,2F61,F - Col/Ler,0.53,1/26/2016
2/1/2016,3,2B21,B - Col/ Ws,0.461,1/26/2016
2/1/2016,3,2D41,D - Ler/ Ws,0,1/26/2016
2/1/2016,3,2D51,D - Ler/ Ws,0.165,1/26/2016
2/1/2016,3,2A21,A - Ws/Col,0,1/26/2016
2/1/2016,3,2G51,G - Ler/Col,0.665,1/26/2016
2/1/2016,3,2B41,B - Col/ Ws,0.415,1/26/2016
2/1/2016,3,2F21,F - Col/Ler,0.606,1/26/2016
2/1/2016,3,2G41,G - Ler/Col,0.683,1/26/2016
2/1/2016,3,2B11,B - Col/ Ws,0.412,1/26/2016
2/1/2016,3,2F31,F - Col/Ler,0.54,1/26/2016
2/1/2016,3,2C21,C - Ws/Ler,0.62,1/26/2016
2/1/2016,3,2G21,G - Ler/Col,0,1/26/2016
2/1/2016,3,2C61,C - Ws/Ler,0.691,1/26/2016
2/1/2016,3,2A11,A - Ws/Col,0,1/26/2016
2/1/2016,3,2B51,B - Col/ Ws,0.515,1/26/2016
2/1/2016,3,2C51,C - Ws/Ler,0.457,1/26/2016
2/1/2016,3,2G61,G - Ler/Col,0.625,1/26/2016
2/2/2016,3,2D31,D - Ler/ Ws,0,1/26/2016
2/2/2016,3,2D61,D - Ler/ Ws,0,1/26/2016
2/2/2016,3,2C31,C - Ws/Ler,0.657,1/26/2016
2/2/2016,3,2A51,A - Ws/Col,0,1/26/2016
2/2/2016,3,2A41,A - Ws/Col,0.728,1/26/2016
2/2/2016,3,2A61,A - Ws/Col,0.729,1/26/2016
2/2/2016,3,2G31,G - Ler/Col,0.654,1/26/2016
2/2/2016,3,2F41,F - Col/Ler,0.297,1/26/2016
2/2/2016,3,2B31,B - Col/ Ws,0,1/26/2016
2/2/2016,3,2C11,C - Ws/Ler,0.154,1/26/2016
2/2/2016,3,2F11,F - Col/Ler,0,1/26/2016
2/2/2016,3,2F51,F - Col/Ler,0.48,1/26/2016
2/2/2016,3,2D21,D - Ler/ Ws,0,1/26/2016
2/2/2016,3,2C41,C - Ws/Ler,0.765,1/26/2016
2/2/2016,3,2D11,D - Ler/ Ws,0,1/26/2016
2/2/2016,3,2B61,B - Col/ Ws,0,1/26/2016
2/2/2016,3,2G11,G - Ler/Col,0.717,1/26/2016
2/2/2016,3,2A31,A - Ws/Col,0.821,1/26/2016
2/2/2016,3,2F61,F - Col/Ler,0.638,1/26/2016
2/2/2016,3,2B21,B - Col/ Ws,0.575,1/26/2016
2/2/2016,3,2D41,D - Ler/ Ws,0.111,1/26/2016
2/2/2016,3,2D51,D - Ler/ Ws,0.192,1/26/2016
2/2/2016,3,2A21,A - Ws/Col,0,1/26/2016
2/2/2016,3,2G51,G - Ler/Col,0.729,1/26/2016
2/2/2016,3,2B41,B - Col/ Ws,0.558,1/26/2016
2/2/2016,3,2F21,F - Col/Ler,0.763,1/26/2016
2/2/2016,3,2G41,G - Ler/Col,0.71,1/26/2016
2/2/2016,3,2B11,B - Col/ Ws,0.513,1/26/2016
2/2/2016,3,2F31,F - Col/Ler,0.74,1/26/2016
2/2/2016,3,2C21,C - Ws/Ler,0.988,1/26/2016
2/2/2016,3,2G21,G - Ler/Col,0,1/26/2016
2/2/2016,3,2C61,C - Ws/Ler,0.962,1/26/2016
2/2/2016,3,2A11,A - Ws/Col,0,1/26/2016
2/2/2016,3,2B51,B - Col/ Ws,0.656,1/26/2016
2/2/2016,3,2C51,C - Ws/Ler,0.682,1/26/2016
