"","SeedID","Geno_Cross","Date","Tray","Total_Area.cm.","germ_date","X96_Well_Plate_1","Position","Isolate","Flat","QC","Note","DAG"
"1","2A12","A - Ws/Col",2016-02-20,4,15.114,2016-01-26,"PLATE1","B9","Control","O","Ler/Colo","good",25
"2","2A12","A - Ws/Col",2016-02-20,4,15.114,2016-01-26,"PLATE1","A3","1.2.16","O","Col-0","fail",25
"3","2A12","A - Ws/Col",2016-02-20,4,15.114,2016-01-26,"PLATE1","A12","MEA PGG","O","Col-0","fail",25
"4","2A12","A - Ws/Col",2016-02-20,4,15.114,2016-01-26,"PLATE1","C6","1.3.19","O","Col-0","fail",25
"5","2A12","A - Ws/Col",2016-02-20,4,15.114,2016-01-26,"PLATE1","D3","Noble Rot","O","Col-0","fail",25
"6","2A12","A - Ws/Col",2016-02-14,4,6.042,2016-01-26,"PLATE1","B9","Control","O","Ler/Colo","good",19
"7","2A12","A - Ws/Col",2016-02-14,4,6.042,2016-01-26,"PLATE1","A3","1.2.16","O","Col-0","fail",19
"8","2A12","A - Ws/Col",2016-02-14,4,6.042,2016-01-26,"PLATE1","A12","MEA PGG","O","Col-0","fail",19
"9","2A12","A - Ws/Col",2016-02-14,4,6.042,2016-01-26,"PLATE1","C6","1.3.19","O","Col-0","fail",19
"10","2A12","A - Ws/Col",2016-02-14,4,6.042,2016-01-26,"PLATE1","D3","Noble Rot","O","Col-0","fail",19
"11","2A12","A - Ws/Col",2016-02-04,4,0.996,2016-01-26,"PLATE1","B9","Control","O","Ler/Colo","good",9
"12","2A12","A - Ws/Col",2016-02-04,4,0.996,2016-01-26,"PLATE1","A3","1.2.16","O","Col-0","fail",9
"13","2A12","A - Ws/Col",2016-02-04,4,0.996,2016-01-26,"PLATE1","A12","MEA PGG","O","Col-0","fail",9
"14","2A12","A - Ws/Col",2016-02-04,4,0.996,2016-01-26,"PLATE1","C6","1.3.19","O","Col-0","fail",9
"15","2A12","A - Ws/Col",2016-02-04,4,0.996,2016-01-26,"PLATE1","D3","Noble Rot","O","Col-0","fail",9
"16","2A12","A - Ws/Col",2016-02-12,4,4.346,2016-01-26,"PLATE1","B9","Control","O","Ler/Colo","good",17
"17","2A12","A - Ws/Col",2016-02-12,4,4.346,2016-01-26,"PLATE1","A3","1.2.16","O","Col-0","fail",17
"18","2A12","A - Ws/Col",2016-02-12,4,4.346,2016-01-26,"PLATE1","A12","MEA PGG","O","Col-0","fail",17
"19","2A12","A - Ws/Col",2016-02-12,4,4.346,2016-01-26,"PLATE1","C6","1.3.19","O","Col-0","fail",17
"20","2A12","A - Ws/Col",2016-02-12,4,4.346,2016-01-26,"PLATE1","D3","Noble Rot","O","Col-0","fail",17
"21","2A12","A - Ws/Col",2016-02-06,4,1.7,2016-01-26,"PLATE1","B9","Control","O","Ler/Colo","good",11
"22","2A12","A - Ws/Col",2016-02-06,4,1.7,2016-01-26,"PLATE1","A3","1.2.16","O","Col-0","fail",11
"23","2A12","A - Ws/Col",2016-02-06,4,1.7,2016-01-26,"PLATE1","A12","MEA PGG","O","Col-0","fail",11
"24","2A12","A - Ws/Col",2016-02-06,4,1.7,2016-01-26,"PLATE1","C6","1.3.19","O","Col-0","fail",11
"25","2A12","A - Ws/Col",2016-02-06,4,1.7,2016-01-26,"PLATE1","D3","Noble Rot","O","Col-0","fail",11
"26","2A12","A - Ws/Col",2016-02-22,4,21.378,2016-01-26,"PLATE1","B9","Control","O","Ler/Colo","good",27
"27","2A12","A - Ws/Col",2016-02-22,4,21.378,2016-01-26,"PLATE1","A3","1.2.16","O","Col-0","fail",27
"28","2A12","A - Ws/Col",2016-02-22,4,21.378,2016-01-26,"PLATE1","A12","MEA PGG","O","Col-0","fail",27
"29","2A12","A - Ws/Col",2016-02-22,4,21.378,2016-01-26,"PLATE1","C6","1.3.19","O","Col-0","fail",27
"30","2A12","A - Ws/Col",2016-02-22,4,21.378,2016-01-26,"PLATE1","D3","Noble Rot","O","Col-0","fail",27
"31","2A12","A - Ws/Col",2016-02-08,4,2.213,2016-01-26,"PLATE1","B9","Control","O","Ler/Colo","good",13
"32","2A12","A - Ws/Col",2016-02-08,4,2.213,2016-01-26,"PLATE1","A3","1.2.16","O","Col-0","fail",13
"33","2A12","A - Ws/Col",2016-02-08,4,2.213,2016-01-26,"PLATE1","A12","MEA PGG","O","Col-0","fail",13
"34","2A12","A - Ws/Col",2016-02-08,4,2.213,2016-01-26,"PLATE1","C6","1.3.19","O","Col-0","fail",13
"35","2A12","A - Ws/Col",2016-02-08,4,2.213,2016-01-26,"PLATE1","D3","Noble Rot","O","Col-0","fail",13
"36","2A12","A - Ws/Col",2016-02-18,4,12.595,2016-01-26,"PLATE1","B9","Control","O","Ler/Colo","good",23
"37","2A12","A - Ws/Col",2016-02-18,4,12.595,2016-01-26,"PLATE1","A3","1.2.16","O","Col-0","fail",23
"38","2A12","A - Ws/Col",2016-02-18,4,12.595,2016-01-26,"PLATE1","A12","MEA PGG","O","Col-0","fail",23
"39","2A12","A - Ws/Col",2016-02-18,4,12.595,2016-01-26,"PLATE1","C6","1.3.19","O","Col-0","fail",23
"40","2A12","A - Ws/Col",2016-02-18,4,12.595,2016-01-26,"PLATE1","D3","Noble Rot","O","Col-0","fail",23
"41","2A12","A - Ws/Col",2016-02-10,4,2.993,2016-01-26,"PLATE1","B9","Control","O","Ler/Colo","good",15
"42","2A12","A - Ws/Col",2016-02-10,4,2.993,2016-01-26,"PLATE1","A3","1.2.16","O","Col-0","fail",15
"43","2A12","A - Ws/Col",2016-02-10,4,2.993,2016-01-26,"PLATE1","A12","MEA PGG","O","Col-0","fail",15
"44","2A12","A - Ws/Col",2016-02-10,4,2.993,2016-01-26,"PLATE1","C6","1.3.19","O","Col-0","fail",15
"45","2A12","A - Ws/Col",2016-02-10,4,2.993,2016-01-26,"PLATE1","D3","Noble Rot","O","Col-0","fail",15
"46","2A12","A - Ws/Col",2016-01-30,4,0.282,2016-01-26,"PLATE1","B9","Control","O","Ler/Colo","good",4
"47","2A12","A - Ws/Col",2016-01-30,4,0.282,2016-01-26,"PLATE1","A3","1.2.16","O","Col-0","fail",4
"48","2A12","A - Ws/Col",2016-01-30,4,0.282,2016-01-26,"PLATE1","A12","MEA PGG","O","Col-0","fail",4
"49","2A12","A - Ws/Col",2016-01-30,4,0.282,2016-01-26,"PLATE1","C6","1.3.19","O","Col-0","fail",4
"50","2A12","A - Ws/Col",2016-01-30,4,0.282,2016-01-26,"PLATE1","D3","Noble Rot","O","Col-0","fail",4
"51","2A12","A - Ws/Col",2016-02-16,4,8.861,2016-01-26,"PLATE1","B9","Control","O","Ler/Colo","good",21
"52","2A12","A - Ws/Col",2016-02-16,4,8.861,2016-01-26,"PLATE1","A3","1.2.16","O","Col-0","fail",21
"53","2A12","A - Ws/Col",2016-02-16,4,8.861,2016-01-26,"PLATE1","A12","MEA PGG","O","Col-0","fail",21
"54","2A12","A - Ws/Col",2016-02-16,4,8.861,2016-01-26,"PLATE1","C6","1.3.19","O","Col-0","fail",21
"55","2A12","A - Ws/Col",2016-02-16,4,8.861,2016-01-26,"PLATE1","D3","Noble Rot","O","Col-0","fail",21
"56","2A22","A - Ws/Col",2016-01-30,4,0.335,2016-01-26,"PLATE1","C7","1.3.19","O","","good",4
"57","2A22","A - Ws/Col",2016-01-30,4,0.335,2016-01-26,"PLATE1","A4","1.2.16","O","","good",4
"58","2A22","A - Ws/Col",2016-01-30,4,0.335,2016-01-26,"PLATE1","B1","MEA PGG","O","","good",4
"59","2A22","A - Ws/Col",2016-01-30,4,0.335,2016-01-26,"PLATE1","D4","Noble Rot","O","","good",4
"60","2A22","A - Ws/Col",2016-01-30,4,0.335,2016-01-26,"PLATE1","B10","Control","O","","good",4
"61","2A22","A - Ws/Col",2016-02-06,4,1.816,2016-01-26,"PLATE1","C7","1.3.19","O","","good",11
"62","2A22","A - Ws/Col",2016-02-06,4,1.816,2016-01-26,"PLATE1","A4","1.2.16","O","","good",11
"63","2A22","A - Ws/Col",2016-02-06,4,1.816,2016-01-26,"PLATE1","B1","MEA PGG","O","","good",11
"64","2A22","A - Ws/Col",2016-02-06,4,1.816,2016-01-26,"PLATE1","D4","Noble Rot","O","","good",11
"65","2A22","A - Ws/Col",2016-02-06,4,1.816,2016-01-26,"PLATE1","B10","Control","O","","good",11
"66","2A22","A - Ws/Col",2016-02-12,4,4.895,2016-01-26,"PLATE1","C7","1.3.19","O","","good",17
"67","2A22","A - Ws/Col",2016-02-12,4,4.895,2016-01-26,"PLATE1","A4","1.2.16","O","","good",17
"68","2A22","A - Ws/Col",2016-02-12,4,4.895,2016-01-26,"PLATE1","B1","MEA PGG","O","","good",17
"69","2A22","A - Ws/Col",2016-02-12,4,4.895,2016-01-26,"PLATE1","D4","Noble Rot","O","","good",17
"70","2A22","A - Ws/Col",2016-02-12,4,4.895,2016-01-26,"PLATE1","B10","Control","O","","good",17
"71","2A22","A - Ws/Col",2016-02-10,4,3.358,2016-01-26,"PLATE1","C7","1.3.19","O","","good",15
"72","2A22","A - Ws/Col",2016-02-10,4,3.358,2016-01-26,"PLATE1","A4","1.2.16","O","","good",15
"73","2A22","A - Ws/Col",2016-02-10,4,3.358,2016-01-26,"PLATE1","B1","MEA PGG","O","","good",15
"74","2A22","A - Ws/Col",2016-02-10,4,3.358,2016-01-26,"PLATE1","D4","Noble Rot","O","","good",15
"75","2A22","A - Ws/Col",2016-02-10,4,3.358,2016-01-26,"PLATE1","B10","Control","O","","good",15
"76","2A22","A - Ws/Col",2016-02-18,4,15,2016-01-26,"PLATE1","C7","1.3.19","O","","good",23
"77","2A22","A - Ws/Col",2016-02-18,4,15,2016-01-26,"PLATE1","A4","1.2.16","O","","good",23
"78","2A22","A - Ws/Col",2016-02-18,4,15,2016-01-26,"PLATE1","B1","MEA PGG","O","","good",23
"79","2A22","A - Ws/Col",2016-02-18,4,15,2016-01-26,"PLATE1","D4","Noble Rot","O","","good",23
"80","2A22","A - Ws/Col",2016-02-18,4,15,2016-01-26,"PLATE1","B10","Control","O","","good",23
"81","2A22","A - Ws/Col",2016-02-08,4,2.561,2016-01-26,"PLATE1","C7","1.3.19","O","","good",13
